Instance ID,Pattern,mg-ca,mg-ce,Number of Classes,cg-na,cg-npm,TD,Minor,Major,Critical
1109,State,34,39,2,20,7,0,0,0,0
1110,State,10,14,2,6,12,2,0,2,0
1111,State,10,48,2,23,15,2,0,2,0
1112,State,10,11,2,8,12,2,0,2,0
1113,State,3,9,2,3,13,1,0,1,0
1114,State,162,158,2,40,28,15,5,1,9
1115,State,160,70,2,30,36,2,0,2,0
1116,State,162,42,2,29,39,0,0,0,0
1117,State,157,14,2,15,19,0,0,0,0
1118,State,160,22,2,30,28,0,0,0,0
1119,State,157,33,2,11,25,0,0,0,0
1120,State,158,36,2,9,23,0,0,0,0
1121,State,157,28,2,16,21,0,0,0,0
1122,State,159,36,2,14,29,0,0,0,0
1123,State,158,47,2,21,33,0,0,0,0
1124,State,157,41,2,15,18,0,0,0,0
1125,State,160,14,2,52,29,0,0,0,0
1126,State,157,14,2,7,20,0,0,0,0
1127,State,162,54,2,10,20,0,0,0,0
1128,State,157,12,2,8,17,0,0,0,0
1129,State,159,71,2,11,25,6,0,1,5
1130,State,157,29,2,8,18,1,0,1,0
1131,State,157,30,2,15,18,2,1,0,1
1132,State,157,11,2,1,18,1,0,1,0
1133,State,157,28,2,1,18,0,0,0,0
1134,State,157,31,2,1,17,4,0,1,3
1135,State,160,39,2,10,24,1,0,0,1
1136,State,227,58,2,82,94,6,0,2,4
1137,State,157,31,2,2,17,0,0,0,0
1138,State,157,22,2,6,18,0,0,0,0
1139,State,157,17,2,3,17,0,0,0,0
1140,State,157,15,2,3,17,0,0,0,0
1141,State,157,26,2,31,17,0,0,0,0
1142,State,157,13,2,12,18,0,0,0,0
1143,State,159,13,2,5,22,0,0,0,0
1144,State,157,13,2,1,17,0,0,0,0
1145,State,157,12,2,11,18,0,0,0,0
1146,State,157,18,2,7,19,1,0,0,1
1147,State,158,20,2,26,29,3,1,0,2
1148,State,178,20,2,49,117,0,0,0,0
1149,State,158,1,2,0,17,3,1,2,0
1150,State,158,1,2,0,17,16,7,4,5
1151,State,158,1,2,0,17,0,0,0,0
1152,State,48,14,2,36,30,0,0,0,0
1153,State,42,10,2,15,23,0,0,0,0
1154,State,64,15,2,28,11,0,0,0,0
1155,State,45,37,2,6,43,1,0,0,1
1156,State,14,54,2,23,8,0,0,0,0
1157,State,43,30,2,7,11,0,0,0,0
1158,State,43,26,2,3,9,0,0,0,0
1159,State,43,22,2,2,9,0,0,0,0
1160,State,38,34,2,14,17,0,0,0,0
1161,State,757,24,2,5,53,0,0,0,0
1162,State,756,17,2,0,51,16,0,6,10
1163,State,49,21,2,26,60,3,1,0,2
1164,State,49,2,2,0,48,16,7,4,5
1165,State,4,15,2,12,5,1,0,1,0
1166,State,4,15,2,12,5,1,0,1,0
1167,State,20,22,2,8,10,0,0,0,0
1168,State,110,87,2,65,80,13,0,9,4
1169,State,110,46,2,49,74,0,0,0,0
1170,State,113,28,2,15,81,0,0,0,0
1171,State,114,33,2,15,82,0,0,0,0
1172,State,109,15,2,7,76,0,0,0,0
1173,State,31,2,2,0,4,0,0,0,0
1174,State,31,2,2,0,4,0,0,0,0
1175,State,31,2,2,0,4,0,0,0,0
1176,State,31,2,2,0,4,0,0,0,0
1177,State,31,2,2,0,4,0,0,0,0
1178,State,31,2,2,0,4,0,0,0,0
1180,State,31,52,2,26,7,0,0,0,0
1181,State,31,27,2,10,7,0,0,0,0
1182,State,30,26,2,11,6,0,0,0,0
1183,State,31,51,2,18,5,0,0,0,0
1184,State,690,304,2,62,199,2,0,0,2
1185,State,665,103,2,69,205,13,0,9,4
1186,State,666,44,2,19,207,0,0,0,0
1187,State,665,38,2,11,201,0,0,0,0
1188,State,669,51,2,19,207,0,0,0,0
1189,State,666,40,2,10,208,1,0,1,0
1190,State,665,49,2,22,239,0,0,0,0
1191,State,183,283,2,57,23,2,0,0,2
1192,State,157,87,2,64,30,13,0,9,4
1193,State,157,45,2,28,34,4,0,2,2
1194,State,157,26,2,14,22,0,0,0,0
1195,State,158,118,2,116,43,5,0,2,3
1196,State,157,31,2,32,21,0,0,0,0
1197,State,161,36,2,24,44,0,0,0,0
1198,State,160,105,2,18,26,0,0,0,0
1199,State,158,44,2,48,24,0,0,0,0
1200,State,158,40,2,46,41,0,0,0,0
1201,State,168,8,2,5,19,0,0,0,0
1202,State,162,55,2,24,36,1,0,0,1
1203,State,161,13,2,6,25,0,0,0,0
1204,State,163,28,2,21,26,0,0,0,0
1205,State,161,23,2,19,34,1,0,1,0
1206,State,159,12,2,8,25,0,0,0,0
1207,State,158,35,2,25,24,1,0,0,1
1208,State,158,38,2,24,24,0,0,0,0
1209,State,158,19,2,6,25,0,0,0,0
1210,State,157,24,2,4,19,0,0,0,0
1211,State,164,31,2,14,32,0,0,0,0
1212,State,157,20,2,1,17,0,0,0,0
1213,State,157,13,2,6,26,0,0,0,0
1214,State,157,13,2,6,31,0,0,0,0
1215,State,157,21,2,7,37,1,0,0,1
1216,State,157,11,2,3,25,0,0,0,0
1217,State,157,13,2,3,22,0,0,0,0
1218,State,183,12,2,8,37,0,0,0,0
1219,State,110,17,2,11,69,0,0,0,0
1220,State,110,39,2,20,70,1,0,0,1
1221,State,109,35,2,42,77,0,0,0,0
1222,State,148,3,2,0,23,0,0,0,0
1223,State,700,182,2,146,281,28,0,10,18
1224,State,666,110,2,53,222,1,0,0,1
1225,State,665,45,2,12,199,0,0,0,0
1226,State,665,63,2,14,195,3,0,0,3
1227,State,15,28,2,12,14,0,0,0,0
1228,State,14,18,2,2,6,0,0,0,0
1229,State,12,22,1,20,36,0,0,0,0
1230,State,157,23,2,4,18,0,0,0,0
1231,State,157,51,2,26,20,0,0,0,0
1232,State,157,29,2,1,17,1,0,1,0
1233,State,157,36,2,6,21,2,0,0,2
1234,State,157,41,2,1,17,1,0,0,1
1235,State,157,38,2,7,18,1,0,0,1
1236,State,157,27,2,6,20,0,0,0,0
1237,State,157,65,2,17,18,4,0,2,2
1238,State,157,38,2,19,20,1,0,0,1
1239,State,157,26,2,11,24,0,0,0,0
1240,State,157,24,2,11,18,0,0,0,0
1241,State,157,49,2,18,18,0,0,0,0
1242,State,157,43,2,32,36,0,0,0,0
1243,State,10,75,2,11,21,6,0,1,5
1244,State,664,27,2,1,46,0,0,0,0
1245,State,664,26,2,1,45,0,0,0,0
1246,State,665,55,2,12,194,1,0,0,1
1247,State,665,57,2,24,196,1,0,0,1
1248,State,663,121,2,18,52,0,0,0,0
1249,State,663,59,2,36,48,0,0,0,0
1250,State,755,32,2,7,57,0,0,0,0
1251,State,755,43,2,12,58,0,0,0,0
1252,State,755,51,2,12,58,0,0,0,0
1253,State,755,34,2,5,55,0,0,0,0
1254,State,154,166,2,142,160,28,0,10,18
1255,State,111,93,2,49,100,1,0,0,1
1256,State,13,41,2,15,15,0,0,0,0
1257,State,40,46,2,6,51,0,0,0,0
1258,State,663,58,2,9,45,3,0,0,3
1259,State,110,14,2,13,69,0,0,0,0
1260,State,110,19,2,13,69,0,0,0,0
1261,State,665,39,2,14,201,0,0,0,0
