Class,Patterns,cg-na,cg-npm
io.questdb.griffin.engine.functions.cast.CastBooleanToCharFunctionFactory,"State, Factory Method, Decorator",1,7
io.questdb.griffin.engine.functions.groupby.CountDistinctUuidGroupByFunctionFactory,"Factory Method, Decorator",0,9
io.questdb.griffin.engine.functions.cast.CastTimestampToCharFunctionFactory,"State, Factory Method, Decorator",1,7
io.questdb.griffin.engine.functions.cast.CastIntToStrFunctionFactory,"Factory Method, Decorator",0,6
io.questdb.griffin.engine.functions.groupby.MaxLongGroupByFunctionFactory,"Factory Method, Decorator",0,9
io.questdb.griffin.engine.functions.analytic.RankFunctionFactory,"State, (Object)Adapter, Factory Method, Decorator",37,59
io.questdb.griffin.engine.functions.date.PgPostmasterStartTimeFunctionFactory,"Factory Method, Decorator",6,6
io.questdb.griffin.engine.functions.conditional.NullIfCharFunctionFactory,"State, Factory Method, Decorator",2,9
io.questdb.griffin.engine.functions.eq.EqStrCharFunctionFactory,"State, Factory Method, Decorator",4,13
io.questdb.griffin.engine.functions.test.TestSumStringGroupByFunctionFactory,"Factory Method, Decorator",0,9
io.questdb.griffin.engine.functions.groupby.MaxBooleanGroupByFunctionFactory,"Factory Method, Decorator",0,9
io.questdb.griffin.engine.functions.conditional.SwitchFunctionFactory,"Factory Method, Decorator",27,6
io.questdb.griffin.engine.functions.cast.CastSymbolToFloatFunctionFactory,"State, Factory Method, Decorator",1,7
io.questdb.griffin.engine.functions.str.StrPosFunctionFactory,"State, Factory Method, Decorator",4,11
io.questdb.griffin.engine.functions.rnd.RndGeoHashFunctionFactory,"(Object)Adapter, Factory Method, Decorator",8,18
io.questdb.griffin.engine.functions.groupby.MinIntGroupByFunctionFactory,"Factory Method, Decorator",0,9
io.questdb.griffin.engine.functions.cast.CastCharToLongFunctionFactory,"Factory Method, Decorator",0,6
io.questdb.griffin.engine.functions.conditional.NullIfIntFunctionFactory,"State, Factory Method, Decorator",2,9
io.questdb.griffin.engine.functions.rnd.RndByteCCFunctionFactory,"(Object)Adapter, Factory Method, Decorator",3,9
io.questdb.griffin.engine.functions.bool.InTimestampStrFunctionFactory,"State, Factory Method, Decorator",5,11
io.questdb.griffin.engine.functions.date.ToStrDateFunctionFactory,"State, Factory Method, Decorator",18,15
io.questdb.griffin.engine.functions.cast.CastIntToBooleanFunctionFactory,"Factory Method, Decorator",0,6
io.questdb.griffin.engine.functions.table.TablePartitionsFunctionFactory,"Factory Method, Decorator",0,9
io.questdb.griffin.engine.functions.groupby.SumIntGroupByFunctionFactory,"Factory Method, Decorator",0,9
