Class,TotalBrokenRules,Minor,Major,Critical,Info,Pattern,cg-na,cg-npm
core:src/test/java/io/questdb/test/cutlass/line/tcp/LineTcpInsertOtherTypesTest.java,36,1.0,1.0,34.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cutlass/line/tcp/LineTcpInsertShortGeoHashTest.java,3,0.0,0.0,3.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cutlass/line/tcp/LineTcpO3Test.java,11,7.0,3.0,1.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cutlass/line/tcp/LineTcpParser2Test.java,10,0.0,4.0,6.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cutlass/line/tcp/LineTcpPartitionReadOnlyTest.java,2,0.0,0.0,2.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cutlass/line/tcp/LineTcpReceiverFuzzTest.java,2,1.0,0.0,1.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cutlass/line/tcp/LineTcpReceiverTest.java,97,42.0,14.0,41.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cutlass/line/tcp/LineTcpReceiverUpdateFuzzTest.java,2,0.0,2.0,0.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cutlass/line/tcp/LineTcpSenderTest.java,13,5.0,0.0,8.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cutlass/line/tcp/LineTcpTypeConversionTest.java,9,1.0,1.0,7.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cutlass/line/tcp/LineTlsTcpSenderTest.java,3,0.0,1.0,2.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cutlass/line/tcp/SymbolCacheTest.java,23,3.0,1.0,19.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cutlass/line/tcp/load/LineData.java,3,1.0,1.0,1.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cutlass/line/tcp/load/TableData.java,1,0.0,1.0,0.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cutlass/line/udp/LineUdpInsertByteGeoHashTest.java,4,0.0,0.0,3.0,1.0,NONE,0,0
core:src/test/java/io/questdb/test/cutlass/line/udp/LineUdpInsertGeoHashTest.java,2,0.0,0.0,2.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cutlass/line/udp/LineUdpInsertIntGeoHashTest.java,3,0.0,0.0,3.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cutlass/line/udp/LineUdpInsertLongGeoHashTest.java,3,0.0,0.0,3.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cutlass/line/udp/LineUdpInsertOtherTypesTest.java,36,0.0,1.0,35.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cutlass/line/udp/LineUdpInsertShortGeoHashTest.java,3,0.0,0.0,3.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cutlass/line/udp/LineUdpLexerTest.java,7,1.0,0.0,6.0,0.0,NONE,0,0
core:src/test/java/io/questdb/test/cutlass/line/udp/LineUdpParserImplTest.java,37,0.0,1.0,36.0,0.0,NONE,0,0
